Provincias;País de residencia;Meses;Total
Alicante/Alacant;Españoles;Agosto;426.700
Alicante/Alacant;Españoles;Septiembre;190.355
Alicante/Alacant;Españoles;Octubre;100.885
Alicante/Alacant;Españoles;Noviembre;58.059
Alicante/Alacant;Españoles;Diciembre;59.330
Alicante/Alacant;Extranjeros;Total;3.924.990
Alicante/Alacant;Extranjeros;Enero;392.919
Alicante/Alacant;Extranjeros;Febrero;383.074
Alicante/Alacant;Extranjeros;Marzo;347.124
Alicante/Alacant;Extranjeros;Abril;298.447
Alicante/Alacant;Extranjeros;Mayo;292.256
Alicante/Alacant;Extranjeros;Junio;250.789
Alicante/Alacant;Extranjeros;Julio;266.316
Alicante/Alacant;Extranjeros;Agosto;296.302
Alicante/Alacant;Extranjeros;Septiembre;273.743
Alicante/Alacant;Extranjeros;Octubre;418.287
Alicante/Alacant;Extranjeros;Noviembre;348.690
Alicante/Alacant;Extranjeros;Diciembre;357.043
Alicante/Alacant;Unión Europea 27 (sin España);Total;1.898.105
Alicante/Alacant;Unión Europea 27 (sin España);Enero;238.487
Alicante/Alacant;Unión Europea 27 (sin España);Febrero;244.505
Alicante/Alacant;Unión Europea 27 (sin España);Marzo;196.095
Alicante/Alacant;Unión Europea 27 (sin España);Abril;115.809
Alicante/Alacant;Unión Europea 27 (sin España);Mayo;97.216
Alicante/Alacant;Unión Europea 27 (sin España);Junio;72.696
Alicante/Alacant;Unión Europea 27 (sin España);Julio;95.513
Alicante/Alacant;Unión Europea 27 (sin España);Agosto;112.882
Alicante/Alacant;Unión Europea 27 (sin España);Septiembre;105.827
Alicante/Alacant;Unión Europea 27 (sin España);Octubre;195.557
Alicante/Alacant;Unión Europea 27 (sin España);Noviembre;207.100
Alicante/Alacant;Unión Europea 27 (sin España);Diciembre;216.418
Alicante/Alacant;Alemania;Total;524.734
Alicante/Alacant;Alemania;Enero;81.950
Alicante/Alacant;Alemania;Febrero;77.282
Alicante/Alacant;Alemania;Marzo;61.734
Alicante/Alacant;Alemania;Abril;31.227
Alicante/Alacant;Alemania;Mayo;18.891
Alicante/Alacant;Alemania;Junio;12.452
Alicante/Alacant;Alemania;Julio;10.388
Alicante/Alacant;Alemania;Agosto;11.118
Alicante/Alacant;Alemania;Septiembre;17.467
Alicante/Alacant;Alemania;Octubre;52.797
Alicante/Alacant;Alemania;Noviembre;69.651
Alicante/Alacant;Alemania;Diciembre;79.778
Alicante/Alacant;Austria;Total;13.102
Alicante/Alacant;Austria;Enero;1.832
Alicante/Alacant;Austria;Febrero;2.124
Alicante/Alacant;Austria;Marzo;1.651
Alicante/Alacant;Austria;Abril;1.000
Alicante/Alacant;Austria;Mayo;640
Alicante/Alacant;Austria;Junio;403
Alicante/Alacant;Austria;Julio;440
Alicante/Alacant;Austria;Agosto;405
Alicante/Alacant;Austria;Septiembre;468
Alicante/Alacant;Austria;Octubre;1.077
Alicante/Alacant;Austria;Noviembre;1.540
Alicante/Alacant;Austria;Diciembre;1.522
Alicante/Alacant;Bélgica;Total;250.663
Alicante/Alacant;Bélgica;Enero;28.618
Alicante/Alacant;Bélgica;Febrero;27.290
Alicante/Alacant;Bélgica;Marzo;25.680
Alicante/Alacant;Bélgica;Abril;17.710
Alicante/Alacant;Bélgica;Mayo;15.463
Alicante/Alacant;Bélgica;Junio;10.951
Alicante/Alacant;Bélgica;Julio;14.639
Alicante/Alacant;Bélgica;Agosto;14.206
Alicante/Alacant;Bélgica;Septiembre;17.951
Alicante/Alacant;Bélgica;Octubre;26.042
Alicante/Alacant;Bélgica;Noviembre;25.939
Alicante/Alacant;Bélgica;Diciembre;26.173
Alicante/Alacant;Dinamarca;Total;19.439
Alicante/Alacant;Dinamarca;Enero;3.306
Alicante/Alacant;Dinamarca;Febrero;3.110
Alicante/Alacant;Dinamarca;Marzo;2.542
Alicante/Alacant;Dinamarca;Abril;1.401
Alicante/Alacant;Dinamarca;Mayo;780
