Provincias;Meses;Total
32 Ourense;Noviembre;110
32 Ourense;Diciembre;96
34 Palencia;Enero;188
34 Palencia;Febrero;194
34 Palencia;Marzo;244
34 Palencia;Abril;295
34 Palencia;Mayo;300
34 Palencia;Junio;307
34 Palencia;Julio;324
34 Palencia;Agosto;338
34 Palencia;Septiembre;346
34 Palencia;Octubre;335
34 Palencia;Noviembre;283
34 Palencia;Diciembre;283
35 Palmas, Las;Enero;168
35 Palmas, Las;Febrero;155
35 Palmas, Las;Marzo;159
35 Palmas, Las;Abril;158
35 Palmas, Las;Mayo;149
35 Palmas, Las;Junio;151
35 Palmas, Las;Julio;156
35 Palmas, Las;Agosto;145
35 Palmas, Las;Septiembre;155
35 Palmas, Las;Octubre;155
35 Palmas, Las;Noviembre;159
35 Palmas, Las;Diciembre;162
36 Pontevedra;Enero;142
36 Pontevedra;Febrero;153
36 Pontevedra;Marzo;162
36 Pontevedra;Abril;181
36 Pontevedra;Mayo;184
36 Pontevedra;Junio;223
36 Pontevedra;Julio;259
36 Pontevedra;Agosto;262
36 Pontevedra;Septiembre;232
36 Pontevedra;Octubre;205
36 Pontevedra;Noviembre;179
36 Pontevedra;Diciembre;165
26 Rioja, La;Enero;135
26 Rioja, La;Febrero;141
26 Rioja, La;Marzo;151
26 Rioja, La;Abril;161
26 Rioja, La;Mayo;143
26 Rioja, La;Junio;160
26 Rioja, La;Julio;153
26 Rioja, La;Agosto;155
26 Rioja, La;Septiembre;147
26 Rioja, La;Octubre;148
26 Rioja, La;Noviembre;141
26 Rioja, La;Diciembre;144
37 Salamanca;Enero;594
37 Salamanca;Febrero;605
37 Salamanca;Marzo;603
37 Salamanca;Abril;656
37 Salamanca;Mayo;658
37 Salamanca;Junio;650
37 Salamanca;Julio;642
37 Salamanca;Agosto;653
37 Salamanca;Septiembre;613
37 Salamanca;Octubre;602
37 Salamanca;Noviembre;631
37 Salamanca;Diciembre;624
38 Santa Cruz de Tenerife;Enero;557
38 Santa Cruz de Tenerife;Febrero;532
38 Santa Cruz de Tenerife;Marzo;530
38 Santa Cruz de Tenerife;Abril;542
38 Santa Cruz de Tenerife;Mayo;520
38 Santa Cruz de Tenerife;Junio;493
38 Santa Cruz de Tenerife;Julio;489
38 Santa Cruz de Tenerife;Agosto;492
38 Santa Cruz de Tenerife;Septiembre;514
38 Santa Cruz de Tenerife;Octubre;549
38 Santa Cruz de Tenerife;Noviembre;540
38 Santa Cruz de Tenerife;Diciembre;537
40 Segovia;Enero;602
40 Segovia;Febrero;629
40 Segovia;Marzo;650
40 Segovia;Abril;626
40 Segovia;Mayo;640
40 Segovia;Junio;642
40 Segovia;Julio;610
40 Segovia;Agosto;625
40 Segovia;Septiembre;620
40 Segovia;Octubre;643
40 Segovia;Noviembre;671
40 Segovia;Diciembre;619
41 Sevilla;Enero;220
41 Sevilla;Febrero;247
41 Sevilla;Marzo;261
41 Sevilla;Abril;278
41 Sevilla;Mayo;281
41 Sevilla;Junio;281
41 Sevilla;Julio;261
41 Sevilla;Agosto;265
41 Sevilla;Septiembre;250
41 Sevilla;Octubre;269
41 Sevilla;Noviembre;278
41 Sevilla;Diciembre;266
42 Soria;Enero;386
42 Soria;Febrero;406
42 Soria;Marzo;427
42 Soria;Abril;424
42 Soria;Mayo;429
42 Soria;Junio;466
42 Soria;Julio;420
42 Soria;Agosto;442
42 Soria;Septiembre;429
42 Soria;Octubre;434
42 Soria;Noviembre;453
42 Soria;Diciembre;429
43 Tarragona;Enero;232
43 Tarragona;Febrero;222
43 Tarragona;Marzo;219
43 Tarragona;Abril;269
43 Tarragona;Mayo;273
43 Tarragona;Junio;292
43 Tarragona;Julio;293
43 Tarragona;Agosto;305
43 Tarragona;Septiembre;292
43 Tarragona;Octubre;271
43 Tarragona;Noviembre;251
43 Tarragona;Diciembre;252
44 Teruel;Enero;425
44 Teruel;Febrero;386
44 Teruel;Marzo;411
44 Teruel;Abril;474
44 Teruel;Mayo;461
44 Teruel;Junio;460
44 Teruel;Julio;487
44 Teruel;Agosto;562
44 Teruel;Septiembre;534
44 Teruel;Octubre;534
44 Teruel;Noviembre;459
44 Teruel;Diciembre;470
45 Toledo;Enero;354
45 Toledo;Febrero;370
45 Toledo;Marzo;355
45 Toledo;Abril;339
45 Toledo;Mayo;346
45 Toledo;Junio;351
45 Toledo;Julio;381
45 Toledo;Agosto;348
45 Toledo;Septiembre;353
45 Toledo;Octubre;351
45 Toledo;Noviembre;349
45 Toledo;Diciembre;346
46 Valencia/València;Enero;494
46 Valencia/València;Febrero;403
46 Valencia/València;Marzo;494
46 Valencia/València;Abril;433
46 Valencia/València;Mayo;486
46 Valencia/València;Junio;458
46 Valencia/València;Julio;448
46 Valencia/València;Agosto;451
46 Valencia/València;Septiembre;435
46 Valencia/València;Octubre;473
46 Valencia/València;Noviembre;441
46 Valencia/València;Diciembre;431
47 Valladolid;Enero;274
47 Valladolid;Febrero;262
47 Valladolid;Marzo;304
47 Valladolid;Abril;312
47 Valladolid;Mayo;314
47 Valladolid;Junio;291
47 Valladolid;Julio;310
47 Valladolid;Agosto;310
47 Valladolid;Septiembre;290
47 Valladolid;Octubre;282
47 Valladolid;Noviembre;278
47 Valladolid;Diciembre;315
49 Zamora;Enero;279
49 Zamora;Febrero;300
49 Zamora;Marzo;319
49 Zamora;Abril;340
49 Zamora;Mayo;337
49 Zamora;Junio;335
49 Zamora;Julio;332
49 Zamora;Agosto;335
49 Zamora;Septiembre;328
49 Zamora;Octubre;333
49 Zamora;Noviembre;318
49 Zamora;Diciembre;305
